0	LOCK
12M	016950.sst
12M	017064.sst
12M	017428.sst
12M	018631.sst
12M	019146.sst
12M	019153.sst
12M	019413.sst
12M	019421.sst
12M	019427.sst
12M	019559.sst
12M	019703.sst
12M	020914.sst
12M	021064.sst
12M	021439.sst
12M	021820.sst
12M	021825.sst
12M	024123.sst
12M	024140.sst
12M	024180.log
13M	002857.sst
13M	003472.sst
13M	003503.sst
13M	003508.sst
13M	005926.sst
13M	006129.sst
13M	006570.sst
13M	006582.sst
13M	008508.sst
13M	008649.sst
13M	008809.sst
13M	009184.sst
13M	010031.sst
13M	010790.sst
13M	011031.sst
13M	011669.sst
13M	012615.sst
13M	013200.sst
13M	013324.sst
13M	013977.sst
13M	014367.sst
13M	015296.sst
13M	015301.sst
13M	016374.sst
13M	016482.sst
13M	016489.sst
13M	017177.sst
13M	017979.sst
13M	018101.sst
13M	018317.sst
13M	019151.sst
13M	019567.sst
13M	019980.sst
13M	020248.sst
13M	020379.sst
13M	020652.sst
13M	020807.sst
13M	020936.sst
13M	021990.sst
13M	023309.sst
13M	024127.sst
13M	024135.sst
13M	024158.sst
14M	003512.sst
14M	005518.sst
14M	005519.sst
14M	005520.sst
14M	005562.sst
14M	005725.sst
14M	005903.sst
14M	005920.sst
14M	006106.sst
14M	006314.sst
14M	006332.sst
14M	008104.sst
14M	008674.sst
14M	009315.sst
14M	009918.sst
14M	010036.sst
14M	010291.sst
14M	010311.sst
14M	011547.sst
14M	011667.sst
14M	012188.sst
14M	012634.sst
14M	012642.sst
14M	013447.sst
14M	013574.sst
14M	014103.sst
14M	014900.sst
14M	015456.sst
14M	015741.sst
14M	016493.sst
14M	017297.sst
14M	017849.sst
14M	017978.sst
14M	019452.sst
14M	020109.sst
14M	020498.sst
14M	020656.sst
14M	022631.sst
14M	022781.sst
14M	022783.sst
14M	024119.sst
15M	004340.sst
15M	005526.sst
15M	005553.sst
15M	007411.sst
15M	007945.sst
15M	008643.sst
15M	008812.sst
15M	009059.sst
15M	010528.sst
15M	010541.sst
15M	010551.sst
15M	011422.sst
15M	011429.sst
15M	011961.sst
15M	012468.sst
15M	012888.sst
15M	013036.sst
15M	013184.sst
15M	015181.sst
15M	015739.sst
15M	015864.sst
15M	016241.sst
15M	016249.sst
15M	016371.sst
15M	016694.sst
15M	017179.sst
15M	017425.sst
15M	017589.sst
15M	017753.sst
15M	018625.sst
15M	018887.sst
15M	019152.sst
15M	019270.sst
15M	019702.sst
15M	019858.sst
15M	020357.sst
15M	020660.sst
15M	020909.sst
15M	021085.sst
15M	021989.sst
15M	022640.sst
15M	022782.sst
15M	023032.sst
15M	023448.sst
15M	023579.sst
15M	023589.sst
15M	023721.sst
16M	002529.sst
16M	002539.sst
16M	006553.sst
16M	008647.sst
16M	010783.sst
16M	011550.sst
16M	013566.sst
16M	013684.sst
16M	015038.sst
16M	015466.sst
16M	015614.sst
16M	015743.sst
16M	016109.sst
16M	016358.sst
16M	016813.sst
16M	016814.sst
16M	016961.sst
16M	017067.sst
16M	018753.sst
16M	020113.sst
16M	021196.sst
16M	023021.sst
17M	002524.sst
17M	002527.sst
17M	002531.sst
